PID,Name,CPU Usage (%),Path,Parent Chain
14748,python.exe,2.64,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.87,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.56,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.53,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.56,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.95,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.97,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
15948,Code.exe,3.41,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3384,language_server_windows_x64.exe,3.48,C:\Users\Extrafly\.vscode\extensions\codeium.codeium-1.24.8\dist\ef806f7cf5ef5903f9da0506527ae0e7897e84db\language_server_windows_x64.exe,"PID: 9332, Name: language_server_windows_x64.exe, Path: C:\Users\Extrafly\.vscode\extensions\codeium.codeium-1.24.8\dist\ef806f7cf5ef5903f9da0506527ae0e7897e84db\language_server_windows_x64.exe -> PID: 1620, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.78,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.7,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.81,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.81,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
15948,Code.exe,4.94,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.97,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.97,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.97,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.73,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.7,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
15948,Code.exe,3.79,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11744,Code.exe,3.18,C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe,"PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.53,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.84,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.7,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
11400,python.exe,7.13,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 8708, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.56,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.56,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.56,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.33,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.56,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.44,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.73,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.73,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.89,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.81,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.73,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.44,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.56,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.44,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
14748,python.exe,2.53,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 9204, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
3992,python.exe,2.59,C:\Users\Extrafly\AppData\Local\Programs\Python\Python312\python.exe,"PID: 14716, Name: powershell.exe, Path: C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe -> PID: 6380, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 12100, Name: Code.exe, Path: C:\Users\Extrafly\AppData\Local\Programs\Microsoft VS Code\Code.exe -> PID: 10872, Name: explorer.exe, Path: C:\Windows\explorer.exe"
